Ticker,AnnualRisk,ExpReturn
None,0.315500238656,0.0318878364949
TMO,0.34650997048,0.0318380729892
APD,0.350478767888,0.0323159221165
PBCT,0.351240653477,0.0323847255932
FE,0.331960366856,0.0322924514027
CMS,0.331276123776,0.0318473686709
