Ticker,AnnualRisk,ExpReturn
None,0.304597452552,0.125217790965
RRD,0.285450596085,0.129837130001
ETN,0.284902234423,0.126863821655
SNA,0.285025670468,0.127277855639
OMC,0.284502624552,0.125376048037
MDP,0.285446039808,0.127869326859
