Ticker,AnnualRisk,ExpReturn
FLR,0.458533770164,0.13
FLS,0.433336443783,0.1628
FMC,0.332445186982,0.1132
FO,0.383138464362,0.1676
FRX,0.35795121846,0.086
FSLR,0.744938385859,0.17
FTI,0.440377089507,0.1364
FTR,0.323759645232,0.094
GAS,0.259394696871,0.0644
GCI,0.346225341379,0.2412
GD,0.324949049435,0.134
GE,0.285598967021,0.1652
GENZ,0.55353345465,0.0548
GILD,0.572983183764,0.0604
GIS,0.222758902245,0.046
GLW,0.455804779193,0.142
GME,0.487820558674,0.1084
GNW,0.967291492299,0.3116
GOOG,0.366909657599,0.1212
GPC,0.233841732992,0.0916
GPS,0.435562037789,0.13
GR,0.332332153826,0.1332
GS,0.435568749361,0.1316
GT,0.411749234155,0.2412
GWW,0.27278975406,0.1076
HAL,0.429016649879,0.1492
HAR,0.447990457262,0.194
HAS,0.353316518902,0.1012
HBAN,0.513429363958,0.1724
HCBK,0.283678480764,0.0772
HCN,0.270199110049,0.1012
HCP,0.300194939422,0.1324
HD,0.372493709815,0.0916
HES,0.350765997063,0.1164
HIG,0.612572825746,0.2892
HNZ,0.237824592933,0.0764
HOG,0.399713467608,0.2292
HON,0.326585308708,0.138
HOT,0.674333656253,0.2036
HP,0.39973908901,0.1116
HPQ,0.381140570033,0.1124
HRB,0.335470871676,0.066
HRL,0.258010613282,0.066
HRS,0.348255078402,0.1092
HSP,0.29102563089,0.0988
HST,0.419162872634,0.226
HSY,0.264931908971,0.0556
HUM,0.425147366454,0.126
IBM,0.281397767728,0.0852
ICE,0.647018373388,0.1164
IFF,0.269690672351,0.1028
IGT,0.417862500516,0.158
INTC,0.435379174917,0.122
INTU,0.55557363218,0.0852
IP,0.338336435235,0.2236
IPG,0.380351233593,0.17
IRM,0.34801668771,0.11
ISRG,0.638382772002,0.1708
ITT,0.295884960294,0.1164
ITW,0.282191377451,0.1196
IVZ,0.49206743412,0.1668
JBL,0.6923101633,0.206
JCI,0.317868436888,0.182
JCP,0.363631046942,0.186
JDSU,0.719598287084,0.2228
JEC,0.374490275637,0.1332
JNJ,0.246524103495,0.0788
JNPR,0.698048688418,0.15
JNS,0.575603163249,0.25
JPM,0.395499521045,0.1196
JWN,0.445563815549,0.178
K,0.259439726448,0.0676
KEY,0.423644966397,0.0844
KFT,0.226117670881,0.0748
KG,0.567613186719,0.114
KIM,0.355262269194,0.1804
KLAC,0.589715084228,0.1828
KMB,0.250523213782,0.0636
KMX,0.590346195281,0.1476
KO,0.256525236495,0.0772
KR,0.330979176875,0.058
KSS,0.367135077971,0.1068
L,0.286877530421,0.1284
LEG,0.302470429121,0.1316
LEN,0.477940265755,0.1596
LH,0.564752329204,0.0716
LIFE,0.510194154564,0.094
LLL,0.329797858405,0.106
LLTC,0.506819092055,0.1156
LLY,0.290246182717,0.094
LM,0.414030748581,0.1884
LMT,0.315503137605,0.1116
LNC,0.456357824191,0.2444
LO,0.301917421199,0.0668
LOW,0.381096231728,0.11
LSI,0.600363472324,0.162
LTD,0.399540302608,0.1748
LUK,0.399235645094,0.1676
LUV,0.39309886317,0.1364
LXK,0.492132058281,0.1188
M,0.418236007853,0.186
MA,0.464613850848,0.1124
MAR,0.352978545245,0.1572
MAS,0.362286136066,0.2036
MAT,0.419707038819,0.11
MCD,0.263287397471,0.0668
MCHP,0.558087180989,0.118
MCK,0.375429072269,0.0884
MCO,0.388146101518,0.1332
MDP,0.29521487369,0.1652
MDT,0.313469430439,0.102
MEE,0.478577962591,0.2068
MET,0.486601081737,0.178
MFE,0.693783357737,0.0836
MHP,0.29550127782,0.1276
MHS,0.322253560041,0.0812
MI,0.437220849048,0.1404
MJN,0.289400197028,0.11
MKC,0.266642163713,0.0644
MMC,0.28175257915,0.0828
MMM,0.239151140327,0.0972
